,result,table,_start,_stop,_time,_value,_field,_measurement,device_id,orig_adapter
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T10:10:00Z,398.3333,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T10:20:00Z,435,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T10:30:00Z,,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T10:40:00Z,188.3333,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T10:50:00Z,,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T11:00:00Z,4.166667,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T11:10:00Z,,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T11:20:00Z,0,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T11:30:00Z,0,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T11:40:00Z,0,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T11:50:00Z,0,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T12:00:00Z,0,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T12:10:00Z,0,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T12:20:00Z,0,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T12:30:00Z,,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T12:40:00Z,0,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T12:50:00Z,0,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T13:00:00Z,0,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T13:10:00Z,0,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T13:20:00Z,0,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T13:30:00Z,0,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T13:40:00Z,0,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T13:50:00Z,0,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T14:00:00Z,0,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T14:10:00Z,0,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T14:20:00Z,0,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T14:30:00Z,0,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T14:40:00Z,0,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T14:50:00Z,0,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T15:00:00Z,0,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T15:10:00Z,0,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T15:20:00Z,0,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T15:30:00Z,0,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T15:40:00Z,0,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T15:50:00Z,,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T16:00:00Z,,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T16:10:00Z,0,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T16:20:00Z,,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T16:30:00Z,0,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T16:40:00Z,,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T16:50:00Z,0,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T17:00:00Z,0,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T17:10:00Z,0,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T17:20:00Z,0,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T17:30:00Z,0,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T17:40:00Z,0,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T17:50:00Z,,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T18:00:00Z,0,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T18:10:00Z,,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T18:20:00Z,0,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T18:30:00Z,0,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T18:40:00Z,0,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T18:50:00Z,0,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T19:00:00Z,,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T19:10:00Z,0,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T19:20:00Z,0,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T19:30:00Z,0,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T19:40:00Z,0,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T19:50:00Z,0,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T20:00:00Z,0,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T20:10:00Z,0,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T20:20:00Z,0,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T20:30:00Z,0,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T20:40:00Z,0,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T20:50:00Z,0,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T21:00:00Z,0,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T21:10:00Z,0,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T21:20:00Z,0,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T21:30:00Z,0,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T21:40:00Z,0,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T21:50:00Z,0,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T22:00:00Z,0,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T22:10:00Z,0,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T22:20:00Z,1.666667,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T22:30:00Z,35.83333,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T22:40:00Z,164.1667,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T22:50:00Z,440.8333,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T23:00:00Z,763.3333,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T23:10:00Z,1044.167,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T23:20:00Z,1252.5,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T23:30:00Z,1472.5,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T23:40:00Z,1732.5,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-11T23:50:00Z,1915,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T00:00:00Z,2351.667,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T00:10:00Z,3082.5,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T00:20:00Z,3473.333,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T00:30:00Z,,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T00:40:00Z,6921.667,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T00:50:00Z,,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T01:00:00Z,8470.833,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T01:10:00Z,10550.83,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T01:20:00Z,13355.83,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T01:30:00Z,15445,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T01:40:00Z,16737.5,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T01:50:00Z,18808.33,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T02:00:00Z,21545,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T02:10:00Z,54386.66,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T02:20:00Z,54612.5,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T02:30:00Z,28966.67,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T02:40:00Z,22060,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T02:50:00Z,33825.83,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T03:00:00Z,37982.5,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T03:10:00Z,43105.83,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T03:20:00Z,47842.5,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T03:30:00Z,51131.66,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T03:40:00Z,53561.66,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T03:50:00Z,54612.5,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T04:00:00Z,54612.5,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T04:10:00Z,54612.5,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T04:20:00Z,,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T04:30:00Z,,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T04:40:00Z,,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T04:50:00Z,,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T05:00:00Z,,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T05:10:00Z,,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T05:20:00Z,,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T05:30:00Z,,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T05:40:00Z,,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T05:50:00Z,,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T06:00:00Z,,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T06:10:00Z,,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T06:20:00Z,,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T06:30:00Z,,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T06:40:00Z,,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T06:50:00Z,6320,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T07:00:00Z,,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T07:10:00Z,3413.333,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T07:20:00Z,4313.333,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T07:30:00Z,4475.833,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T07:40:00Z,,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T07:50:00Z,3171.667,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T08:00:00Z,,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T08:10:00Z,3584.167,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T08:20:00Z,2425.833,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T08:30:00Z,,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T08:40:00Z,1648.333,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T08:50:00Z,1793.333,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T09:00:00Z,4425,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T09:10:00Z,4309.167,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T09:20:00Z,3284.167,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T09:30:00Z,3705.833,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T09:40:00Z,4075.833,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T09:50:00Z,2641.667,lux,telemetry,Upi_iotdev_9,hono-mqtt
,,0,2021-10-11T10:05:49Z,2021-10-14T10:05:49.343Z,2021-10-12T10:00:00Z,,lux,telemetry,Upi_iotdev_9,hono-mqtt
